Location,3/11/20,3/12/20,delta
"Santa Clara, California, US",48,52,8.33
"Los Angeles, California, US",27,32,18.52
"San Mateo, California, US",15,20,33.33
"San Francisco, California, US",14,18,28.57
"Sacramento, California, US",11,17,54.55
"Contra Costa, California, US",10,17,70.00
"Placer, California, US",7,7,0.00
"Riverside, California, US",6,8,33.33
"Solano, California, US",6,6,0.00
"Alameda, California, US",5,5,0.00
"Orange, California, US",5,6,20.00
"San Diego, California, US",3,5,66.67
"Sonoma, California, US",3,3,0.00
"Calaveras, California, US",2,2,0.00
"Fresno, California, US",2,2,0.00
"San Benito, California, US",2,2,0.00
"Santa Cruz, California, US",2,4,100.00
"Stanislaus, California, US",2,2,0.00
"Humboldt, California, US",1,1,0.00
"Madera, California, US",1,1,0.00
"Marin, California, US",1,3,200.00
"Napa, California, US",1,0,-100.00
"San Joaquin, California, US",1,1,0.00
"Shasta, California, US",1,1,0.00
"Ventura, California, US",1,2,100.00
"Yolo, California, US",1,1,0.00
"Alpine, California, US",0,0,0.00
"Amador, California, US",0,0,0.00
"Butte, California, US",0,0,0.00
"Colusa, California, US",0,0,0.00
"Del Norte, California, US",0,0,0.00
"El Dorado, California, US",0,0,0.00
"Glenn, California, US",0,0,0.00
"Imperial, California, US",0,2,0.00
"Inyo, California, US",0,0,0.00
"Kern, California, US",0,0,0.00
"Kings, California, US",0,0,0.00
"Lake, California, US",0,0,0.00
"Lassen, California, US",0,0,0.00
"Mariposa, California, US",0,0,0.00
"Mendocino, California, US",0,0,0.00
"Merced, California, US",0,0,0.00
"Modoc, California, US",0,0,0.00
"Mono, California, US",0,0,0.00
"Monterey, California, US",0,0,0.00
"Nevada, California, US",0,0,0.00
"Out of CA, California, US",0,0,0.00
"Plumas, California, US",0,0,0.00
"San Bernardino, California, US",0,0,0.00
"San Luis Obispo, California, US",0,0,0.00
"Santa Barbara, California, US",0,0,0.00
"Sierra, California, US",0,0,0.00
"Siskiyou, California, US",0,0,0.00
"Sutter, California, US",0,0,0.00
"Tehama, California, US",0,0,0.00
"Trinity, California, US",0,0,0.00
"Tulare, California, US",0,1,0.00
"Tuolumne, California, US",0,0,0.00
"Yuba, California, US",0,0,0.00
