Location,3/30/20,3/31/20,delta
"Fulton, Georgia, US",463,570,23.11
"DeKalb, Georgia, US",281,335,19.22
"Dougherty, Georgia, US",267,462,73.03
"Cobb, Georgia, US",245,279,13.88
"Gwinnett, Georgia, US",158,238,50.63
"Bartow, Georgia, US",121,131,8.26
"Carroll, Georgia, US",81,123,51.85
"Cherokee, Georgia, US",61,76,24.59
"Clayton, Georgia, US",61,104,70.49
"Henry, Georgia, US",58,78,34.48
"Lee, Georgia, US",44,89,102.27
"Clarke, Georgia, US",41,50,21.95
"Douglas, Georgia, US",39,50,28.21
"Hall, Georgia, US",34,66,94.12
"Forsyth, Georgia, US",33,47,42.42
"Fayette, Georgia, US",32,45,40.63
"Coweta, Georgia, US",28,41,46.43
"Floyd, Georgia, US",28,35,25.00
"Paulding, Georgia, US",24,30,25.00
"Lowndes, Georgia, US",20,21,5.00
"Tift, Georgia, US",19,19,0.00
"Newton, Georgia, US",18,31,72.22
"Rockdale, Georgia, US",18,36,100.00
"Chatham, Georgia, US",16,26,62.50
"Early, Georgia, US",16,28,75.00
"Houston, Georgia, US",16,29,81.25
"Sumter, Georgia, US",16,33,106.25
"Bibb, Georgia, US",15,20,33.33
"Gordon, Georgia, US",15,16,6.67
"Mitchell, Georgia, US",15,31,106.67
"Richmond, Georgia, US",13,40,207.69
"Columbia, Georgia, US",12,24,100.00
"Laurens, Georgia, US",12,13,8.33
"Muscogee, Georgia, US",12,20,66.67
"Polk, Georgia, US",12,15,25.00
"Spalding, Georgia, US",12,13,8.33
"Terrell, Georgia, US",12,40,233.33
"Oconee, Georgia, US",11,15,36.36
"Troup, Georgia, US",11,16,45.45
"Worth, Georgia, US",11,29,163.64
"Coffee, Georgia, US",10,11,10.00
"Glynn, Georgia, US",10,17,70.00
"Barrow, Georgia, US",7,18,157.14
"Bryan, Georgia, US",7,7,0.00
"Peach, Georgia, US",7,7,0.00
"Thomas, Georgia, US",7,9,28.57
"Whitfield, Georgia, US",7,10,42.86
"Colquitt, Georgia, US",6,18,200.00
"Crisp, Georgia, US",6,15,150.00
"Meriwether, Georgia, US",6,6,0.00
"Pickens, Georgia, US",6,6,0.00
"Butts, Georgia, US",5,6,20.00
"Calhoun, Georgia, US",5,9,80.00
"Dawson, Georgia, US",5,10,100.00
"Decatur, Georgia, US",5,7,40.00
"Seminole, Georgia, US",5,8,60.00
"Upson, Georgia, US",5,5,0.00
"Ware, Georgia, US",5,9,80.00
"Burke, Georgia, US",4,8,100.00
"Effingham, Georgia, US",4,4,0.00
"Harris, Georgia, US",4,4,0.00
"Lamar, Georgia, US",4,3,-25.00
"Liberty, Georgia, US",4,5,25.00
"Lumpkin, Georgia, US",4,8,100.00
"Miller, Georgia, US",4,4,0.00
"Walton, Georgia, US",4,6,50.00
"Baldwin, Georgia, US",3,4,33.33
"Camden, Georgia, US",3,4,33.33
"Catoosa, Georgia, US",3,3,0.00
"Fannin, Georgia, US",3,5,66.67
"Franklin, Georgia, US",3,4,33.33
"Greene, Georgia, US",3,7,133.33
"Haralson, Georgia, US",3,4,33.33
"Irwin, Georgia, US",3,3,0.00
"Lincoln, Georgia, US",3,4,33.33
"Madison, Georgia, US",3,3,0.00
"Monroe, Georgia, US",3,4,33.33
"Murray, Georgia, US",3,4,33.33
"Pulaski, Georgia, US",3,3,0.00
"Randolph, Georgia, US",3,5,66.67
"Stephens, Georgia, US",3,4,33.33
"Turner, Georgia, US",3,3,0.00
"Ben Hill, Georgia, US",2,3,50.00
"Hart, Georgia, US",2,4,100.00
"Jackson, Georgia, US",2,8,300.00
"Jasper, Georgia, US",2,2,0.00
"Jones, Georgia, US",2,3,50.00
"Pierce, Georgia, US",2,3,50.00
"Pike, Georgia, US",2,2,0.00
"Tattnall, Georgia, US",2,2,0.00
"Toombs, Georgia, US",2,3,50.00
"Twiggs, Georgia, US",2,2,0.00
"Washington, Georgia, US",2,2,0.00
"Bacon, Georgia, US",1,2,100.00
"Baker, Georgia, US",1,4,300.00
"Banks, Georgia, US",1,3,200.00
"Berrien, Georgia, US",1,1,0.00
"Brooks, Georgia, US",1,2,100.00
"Bulloch, Georgia, US",1,2,100.00
"Candler, Georgia, US",1,1,0.00
"Charlton, Georgia, US",1,1,0.00
"Chattahoochee, Georgia, US",1,1,0.00
"Chattooga, Georgia, US",1,3,200.00
"Clinch, Georgia, US",1,1,0.00
"Cook, Georgia, US",1,1,0.00
"Dodge, Georgia, US",1,2,100.00
"Dooly, Georgia, US",1,6,500.00
"Gilmer, Georgia, US",1,1,0.00
"Heard, Georgia, US",1,1,0.00
"Jenkins, Georgia, US",1,1,0.00
"Long, Georgia, US",1,1,0.00
"Macon, Georgia, US",1,2,100.00
"McDuffie,Georgia,US",1,3,200.00
"Morgan, Georgia, US",1,2,100.00
"Schley, Georgia, US",1,5,400.00
"Taylor, Georgia, US",1,2,100.00
"Warren, Georgia, US",1,3,200.00
"Wheeler, Georgia, US",1,1,0.00
"White, Georgia, US",1,3,200.00
"Wilkes, Georgia, US",1,2,100.00
"Appling, Georgia, US",0,2,0.00
"Atkinson, Georgia, US",0,0,0.00
"Bleckley, Georgia, US",0,1,0.00
"Brantley, Georgia, US",0,0,0.00
"Clay, Georgia, US",0,4,0.00
"Crawford, Georgia, US",0,0,0.00
"Dade, Georgia, US",0,1,0.00
"Echols, Georgia, US",0,0,0.00
"Elbert, Georgia, US",0,0,0.00
"Emanuel, Georgia, US",0,1,0.00
"Evans, Georgia, US",0,0,0.00
"Glascock, Georgia, US",0,0,0.00
"Grady, Georgia, US",0,1,0.00
"Habersham, Georgia, US",0,2,0.00
"Hancock, Georgia, US",0,0,0.00
"Jeff Davis, Georgia, US",0,0,0.00
"Jefferson, Georgia, US",0,2,0.00
"Johnson, Georgia, US",0,1,0.00
"Lanier, Georgia, US",0,0,0.00
"Marion, Georgia, US",0,0,0.00
"McIntosh, Georgia, US",0,1,0.00
"Montgomery, Georgia, US",0,0,0.00
"Oglethorpe, Georgia, US",0,1,0.00
"Out of GA, Georgia, US",0,0,0.00
"Putnam, Georgia, US",0,0,0.00
"Quitman, Georgia, US",0,0,0.00
"Rabun, Georgia, US",0,2,0.00
"Screven, Georgia, US",0,1,0.00
"Stewart, Georgia, US",0,1,0.00
"Talbot, Georgia, US",0,1,0.00
"Taliaferro, Georgia, US",0,0,0.00
"Telfair, Georgia, US",0,0,0.00
"Towns, Georgia, US",0,0,0.00
"Treutlen, Georgia, US",0,0,0.00
"Union, Georgia, US",0,0,0.00
"Walker, Georgia, US",0,0,0.00
"Wayne, Georgia, US",0,0,0.00
"Webster, Georgia, US",0,1,0.00
"Wilcox, Georgia, US",0,1,0.00
"Wilkinson, Georgia, US",0,1,0.00
