Location,11/13/20,11/14/20,delta
"Cass, North Dakota, US",12950,13235,2.20
"Burleigh, North Dakota, US",9502,9766,2.78
"Grand Forks, North Dakota, US",6327,6621,4.65
"Ward, North Dakota, US",5741,6026,4.96
"Morton, North Dakota, US",3209,3297,2.74
"Stark, North Dakota, US",2814,2970,5.54
"Williams, North Dakota, US",2457,2544,3.54
"Stutsman, North Dakota, US",1815,1928,6.23
"Walsh, North Dakota, US",1092,1147,5.04
"Rolette, North Dakota, US",972,1018,4.73
"Ramsey, North Dakota, US",837,863,3.11
"Richland, North Dakota, US",813,837,2.95
"McLean, North Dakota, US",809,829,2.47
"Mountrail, North Dakota, US",786,833,5.98
"McKenzie, North Dakota, US",734,753,2.59
"Mercer, North Dakota, US",671,694,3.43
"Barnes, North Dakota, US",649,715,10.17
"Benson, North Dakota, US",635,655,3.15
"Traill, North Dakota, US",531,556,4.71
"Dickey, North Dakota, US",465,485,4.30
"Pembina, North Dakota, US",448,474,5.80
"Bottineau, North Dakota, US",424,432,1.89
"Sioux, North Dakota, US",359,378,5.29
"McHenry, North Dakota, US",340,357,5.00
"Emmons, North Dakota, US",317,319,0.63
"Ransom, North Dakota, US",317,343,8.20
"Foster, North Dakota, US",304,336,10.53
"Eddy, North Dakota, US",303,307,1.32
"LaMoure, North Dakota, US",281,289,2.85
"Pierce, North Dakota, US",268,288,7.46
"Nelson, North Dakota, US",265,286,7.92
"Wells, North Dakota, US",264,272,3.03
"Cavalier, North Dakota, US",255,261,2.35
"Dunn, North Dakota, US",242,246,1.65
"McIntosh, North Dakota, US",197,210,6.60
"Sargent, North Dakota, US",197,214,8.63
"Hettinger, North Dakota, US",167,177,5.99
"Towner, North Dakota, US",165,167,1.21
"Griggs, North Dakota, US",164,176,7.32
"Bowman, North Dakota, US",162,168,3.70
"Renville, North Dakota, US",151,157,3.97
"Kidder, North Dakota, US",147,149,1.36
"Logan, North Dakota, US",144,144,0.00
"Burke, North Dakota, US",134,145,8.21
"Golden Valley, North Dakota, US",130,137,5.38
"Adams, North Dakota, US",124,129,4.03
"Grant, North Dakota, US",113,116,2.65
"Oliver, North Dakota, US",107,107,0.00
"Divide, North Dakota, US",101,104,2.97
"Steele, North Dakota, US",85,89,4.71
"Sheridan, North Dakota, US",66,69,4.55
"Billings, North Dakota, US",35,36,2.86
"Slope, North Dakota, US",17,18,5.88
"Out of ND, North Dakota, US",0,0,0.00
