"Oklahoma, Oklahoma, US",237,256,8.02
"Tulsa, Oklahoma, US",175,221,26.29
"Cleveland, Oklahoma, US",130,169,30.00
"Creek, Oklahoma, US",39,43,10.26
"Comanche, Oklahoma, US",33,37,12.12
"Wagoner, Oklahoma, US",30,40,33.33
"Canadian, Oklahoma, US",29,32,10.34
"Washington, Oklahoma, US",28,33,17.86
"Kay, Oklahoma, US",25,29,16.00
"Osage, Oklahoma, US",21,25,19.05
"Payne, Oklahoma, US",18,20,11.11
"Muskogee, Oklahoma, US",16,17,6.25
"Pawnee, Oklahoma, US",16,16,0.00
"Adair, Oklahoma, US",14,14,0.00
"Delaware, Oklahoma, US",11,11,0.00
"Pottawatomie, Oklahoma, US",11,11,0.00
"McClain, Oklahoma, US",10,11,10.00
"Rogers, Oklahoma, US",10,12,20.00
"Garvin, Oklahoma, US",8,11,37.50
"Ottawa, Oklahoma, US",8,10,25.00
"Stephens, Oklahoma, US",8,9,12.50
"Cherokee, Oklahoma, US",7,10,42.86
"Lincoln, Oklahoma, US",7,7,0.00
"Nowata, Oklahoma, US",7,8,14.29
"Okmulgee, Oklahoma, US",7,11,57.14
"Pontotoc, Oklahoma, US",7,7,0.00
"Custer, Oklahoma, US",5,5,0.00
"Garfield, Oklahoma, US",5,5,0.00
"Grady, Oklahoma, US",5,6,20.00
"Greer, Oklahoma, US",5,6,20.00
"Logan, Oklahoma, US",5,6,20.00
"Mayes, Oklahoma, US",5,7,40.00
"Noble, Oklahoma, US",5,5,0.00
"Cotton, Oklahoma, US",4,4,0.00
"Jackson, Oklahoma, US",4,4,0.00
"Sequoyah, Oklahoma, US",4,4,0.00
"Bryan, Oklahoma, US",3,3,0.00
"Kingfisher, Oklahoma, US",3,3,0.00
"Caddo, Oklahoma, US",2,4,100.00
"Craig, Oklahoma, US",2,3,50.00
"Latimer, Oklahoma, US",2,4,100.00
"Love, Oklahoma, US",2,2,0.00
"Out of OK, Oklahoma, US",2,2,0.00
"Pittsburg, Oklahoma, US",2,3,50.00
"Atoka, Oklahoma, US",1,1,0.00
"Beckham, Oklahoma, US",1,1,0.00
"Carter, Oklahoma, US",1,1,0.00
"Choctaw, Oklahoma, US",1,2,100.00
"Grant, Oklahoma, US",1,1,0.00
"Kiowa, Oklahoma, US",1,1,0.00
"Le Flore, Oklahoma, US",1,1,0.00
"Major, Oklahoma, US",1,1,0.00
"McCurtain, Oklahoma, US",1,1,0.00
"Seminole, Oklahoma, US",1,2,100.00
"Texas, Oklahoma, US",1,1,0.00
"Washita, Oklahoma, US",1,0,-100.00
"Woodward, Oklahoma, US",1,1,0.00
"Alfalfa, Oklahoma, US",0,0,0.00
"Beaver, Oklahoma, US",0,0,0.00
"Blaine, Oklahoma, US",0,0,0.00
"Cimarron, Oklahoma, US",0,0,0.00
"Coal, Oklahoma, US",0,0,0.00
"Dewey, Oklahoma, US",0,0,0.00
"Ellis, Oklahoma, US",0,0,0.00
"Harmon, Oklahoma, US",0,0,0.00
"Harper, Oklahoma, US",0,0,0.00
"Haskell, Oklahoma, US",0,0,0.00
"Hughes, Oklahoma, US",0,0,0.00
"Jefferson, Oklahoma, US",0,0,0.00
"Johnston, Oklahoma, US",0,0,0.00
"Marshall, Oklahoma, US",0,0,0.00
"McIntosh, Oklahoma, US",0,0,0.00
"Murray, Oklahoma, US",0,0,0.00
"Okfuskee, Oklahoma, US",0,0,0.00
"Pushmataha, Oklahoma, US",0,0,0.00
"Roger Mills, Oklahoma, US",0,0,0.00
"Tillman, Oklahoma, US",0,1,0.00
"Woods, Oklahoma, US",0,0,0.00
