Location,8/26/20,8/27/20,delta
"Minnehaha, South Dakota, US",4954,5028,1.49
"Pennington, South Dakota, US",1091,1211,11.00
"Lincoln, South Dakota, US",805,830,3.11
"Beadle, South Dakota, US",620,621,0.16
"Brown, South Dakota, US",562,604,7.47
"Union, South Dakota, US",237,244,2.95
"Codington, South Dakota, US",221,243,9.95
"Brookings, South Dakota, US",197,224,13.71
"Yankton, South Dakota, US",185,193,4.32
"Meade, South Dakota, US",179,247,37.99
"Clay, South Dakota, US",176,230,30.68
"Oglala Lakota, South Dakota, US",163,169,3.68
"Lawrence, South Dakota, US",129,171,32.56
"Charles Mix, South Dakota, US",116,117,0.86
"Davison, South Dakota, US",113,121,7.08
"Hughes, South Dakota, US",113,121,7.08
"Buffalo, South Dakota, US",109,109,0.00
"Lake, South Dakota, US",109,113,3.67
"Lyman, South Dakota, US",95,99,4.21
"Custer, South Dakota, US",92,104,13.04
"Roberts, South Dakota, US",91,93,2.20
"Todd, South Dakota, US",77,77,0.00
"Turner, South Dakota, US",70,74,5.71
"Dewey, South Dakota, US",68,72,5.88
"Corson, South Dakota, US",52,52,0.00
"Brule, South Dakota, US",50,55,10.00
"Ziebach, South Dakota, US",46,46,0.00
"Hamlin, South Dakota, US",44,48,9.09
"Aurora, South Dakota, US",42,42,0.00
"Jerauld, South Dakota, US",40,40,0.00
"Bon Homme, South Dakota, US",39,47,20.51
"Grant, South Dakota, US",39,41,5.13
"McCook, South Dakota, US",39,41,5.13
"Moody, South Dakota, US",38,39,2.63
"Spink, South Dakota, US",38,44,15.79
"Hutchinson, South Dakota, US",35,36,2.86
"Deuel, South Dakota, US",34,38,11.76
"Butte, South Dakota, US",33,41,24.24
"Day, South Dakota, US",32,34,6.25
"Walworth, South Dakota, US",32,37,15.63
"Faulk, South Dakota, US",29,31,6.90
"Fall River, South Dakota, US",27,32,18.52
"Edmunds, South Dakota, US",26,27,3.85
"Mellette, South Dakota, US",24,24,0.00
"Douglas, South Dakota, US",22,23,4.55
"Hanson, South Dakota, US",22,23,4.55
"Stanley, South Dakota, US",20,20,0.00
"Tripp, South Dakota, US",20,20,0.00
"Clark, South Dakota, US",18,18,0.00
"Kingsbury, South Dakota, US",18,21,16.67
"Marshall, South Dakota, US",16,16,0.00
"Miner, South Dakota, US",15,15,0.00
"Bennett, South Dakota, US",13,18,38.46
"Hand, South Dakota, US",13,14,7.69
"Sanborn, South Dakota, US",13,13,0.00
"Jackson, South Dakota, US",12,12,0.00
"Gregory, South Dakota, US",10,14,40.00
"McPherson, South Dakota, US",10,10,0.00
"Perkins, South Dakota, US",9,13,44.44
"Sully, South Dakota, US",8,8,0.00
"Hyde, South Dakota, US",5,5,0.00
"Campbell, South Dakota, US",4,4,0.00
"Potter, South Dakota, US",4,7,75.00
"Haakon, South Dakota, US",3,5,66.67
"Jones, South Dakota, US",3,3,0.00
"Harding, South Dakota, US",2,2,0.00
"Out of SD, South Dakota, US",0,0,0.00
