Location,2/28/20,2/29/20,delta
"King, Washington, US",1,6,500.00
"Adams, Washington, US",0,0,0.00
"Asotin, Washington, US",0,0,0.00
"Benton, Washington, US",0,0,0.00
"Chelan, Washington, US",0,0,0.00
"Clallam, Washington, US",0,0,0.00
"Clark, Washington, US",0,0,0.00
"Columbia, Washington, US",0,0,0.00
"Cowlitz, Washington, US",0,0,0.00
"Douglas, Washington, US",0,0,0.00
"Ferry, Washington, US",0,0,0.00
"Franklin, Washington, US",0,0,0.00
"Garfield, Washington, US",0,0,0.00
"Grant, Washington, US",0,0,0.00
"Grays Harbor, Washington, US",0,0,0.00
"Island, Washington, US",0,0,0.00
"Jefferson, Washington, US",0,0,0.00
"Kitsap, Washington, US",0,0,0.00
"Kittitas, Washington, US",0,0,0.00
"Klickitat, Washington, US",0,0,0.00
"Lewis, Washington, US",0,0,0.00
"Lincoln, Washington, US",0,0,0.00
"Mason, Washington, US",0,0,0.00
"Okanogan, Washington, US",0,0,0.00
"Out of WA, Washington, US",0,0,0.00
"Pacific, Washington, US",0,0,0.00
"Pend Oreille, Washington, US",0,0,0.00
"Pierce, Washington, US",0,0,0.00
"San Juan, Washington, US",0,0,0.00
"Skagit, Washington, US",0,0,0.00
"Skamania, Washington, US",0,0,0.00
"Snohomish, Washington, US",0,1,0.00
"Spokane, Washington, US",0,0,0.00
"Stevens, Washington, US",0,0,0.00
"Thurston, Washington, US",0,0,0.00
"Wahkiakum, Washington, US",0,0,0.00
"Walla Walla, Washington, US",0,0,0.00
"Whatcom, Washington, US",0,0,0.00
"Whitman, Washington, US",0,0,0.00
"Yakima, Washington, US",0,0,0.00
