Location,3/22/20,3/23/20,delta
"King, Washington, US",1040,1170,12.50
"Snohomish, Washington, US",480,519,8.13
"Pierce, Washington, US",107,126,17.76
"Skagit, Washington, US",33,33,0.00
"Island, Washington, US",21,25,19.05
"Spokane, Washington, US",20,20,0.00
"Grant, Washington, US",18,23,27.78
"Kitsap, Washington, US",18,18,0.00
"Yakima, Washington, US",16,16,0.00
"Whatcom, Washington, US",14,48,242.86
"Thurston, Washington, US",11,11,0.00
"Clark, Washington, US",10,13,30.00
"Benton, Washington, US",7,9,28.57
"Jefferson, Washington, US",6,6,0.00
"Clallam, Washington, US",4,4,0.00
"Kittitas, Washington, US",4,4,0.00
"Klickitat, Washington, US",4,4,0.00
"Chelan, Washington, US",3,6,100.00
"Cowlitz, Washington, US",3,3,0.00
"Franklin, Washington, US",3,5,66.67
"Lewis, Washington, US",2,2,0.00
"Columbia, Washington, US",1,1,0.00
"Garfield, Washington, US",1,0,-100.00
"Grays Harbor, Washington, US",1,1,0.00
"Lincoln, Washington, US",1,1,0.00
"Mason, Washington, US",1,1,0.00
"San Juan, Washington, US",1,1,0.00
"Stevens, Washington, US",1,1,0.00
"Walla Walla, Washington, US",1,1,0.00
"Whitman, Washington, US",1,2,100.00
"Adams, Washington, US",0,1,0.00
"Asotin, Washington, US",0,0,0.00
"Douglas, Washington, US",0,1,0.00
"Ferry, Washington, US",0,0,0.00
"Okanogan, Washington, US",0,0,0.00
"Out of WA, Washington, US",0,0,0.00
"Pacific, Washington, US",0,0,0.00
"Pend Oreille, Washington, US",0,0,0.00
"Skamania, Washington, US",0,0,0.00
"Wahkiakum, Washington, US",0,0,0.00
